wellenlaenge arbitrary
796.867 26.397
796.962 4.396
797.056 1.396
797.151 -4.605
797.245 21.395
797.340 66.394
797.434 53.394
797.529 16.393
797.623 42.393
797.717 -6.608
797.812 -1.609
797.906 16.391
798.000 5.390
798.095 12.390
798.189 0.389
798.283 2.389
798.377 13.388
798.472 17.388
798.566 5.387
798.660 20.387
798.754 -26.614
798.848 44.386
798.942 9.385
799.036 -24.615
799.130 44.384
799.224 3.384
799.318 24.383
799.412 49.383
799.506 45.382
799.600 16.382
799.694 45.381
799.788 0.381
799.882 -3.620
799.975 35.380
800.069 9.379
800.163 -9.621
800.257 11.379
800.351 -42.622
800.444 13.378
800.538 -13.623
800.632 43.377
800.725 21.376
800.819 32.376
800.912 46.375
801.006 -9.625
801.100 42.374
801.193 -21.626
801.287 8.373
801.380 -15.627
801.474 33.372
801.567 19.372
801.660 50.371
801.754 -81.629
801.847 -3.630
801.941 7.370
802.034 27.369
802.127 21.369
802.220 -23.632
802.314 14.368
802.407 47.368
802.500 -6.633
802.593 -25.633
802.687 10.366
802.780 10.366
802.873 -1.635
802.966 -61.635
803.059 19.364
803.152 8.364
803.245 -35.637
803.338 -5.637
803.431 -32.638
803.524 16.362
803.617 20.362
803.710 40.361
803.803 41.361
803.896 34.360
803.988 -31.640
804.081 34.359
804.174 4.359
804.267 4.358
804.360 58.358
804.452 -1.643
804.545 -26.643
804.638 39.357
804.730 3.356
804.823 11.356
804.916 -18.645
805.008 -15.645
805.101 23.354
805.193 -33.646
805.286 30.353
805.378 17.353
805.471 0.353
805.563 -6.648
805.656 -67.648
805.748 -16.649
805.841 7.351
805.933 -20.650
806.025 17.350
806.118 -3.650
806.210 16.349
806.302 -13.651
806.394 45.348
806.487 30.348
806.579 -16.653
806.671 -8.653
806.763 -24.654
806.855 -38.654
806.948 -28.654
807.040 36.345
807.132 -15.655
807.224 14.344
807.316 -19.656
807.408 -8.656
807.500 10.343
807.592 23.343
807.684 33.342
807.776 -15.658
807.867 38.341
807.959 42.341
808.051 22.341
808.143 -3.660
808.235 5.340
808.327 26.339
808.418 -7.661
808.510 -40.662
808.602 -5.662
808.693 -3.662
808.785 -14.663
808.877 -4.663
808.968 10.336
809.060 -17.664
809.152 -0.664
809.243 -8.665
809.335 35.335
809.426 57.334
809.518 20.334
809.609 -1.666
809.701 -40.667
809.792 -8.667
809.883 16.332
809.975 4.332
810.066 5.332
810.157 8.331
810.249 -7.669
810.340 15.330
810.431 -26.670
810.522 0.330
810.614 -29.671
810.705 34.329
810.796 54.328
810.887 0.328
810.978 -2.672
811.069 -12.673
811.160 -19.673
811.251 -43.674
811.343 2.326
811.434 11.326
811.525 21.325
811.615 50.325
811.706 -20.676
811.797 24.324
811.888 68.324
811.979 4.323
812.070 37.323
812.161 2.322
812.252 16.322
812.342 22.322
812.433 6.321
812.524 -7.679
812.615 51.321
812.705 5.320
812.796 -13.680
812.887 -19.681
812.977 30.319
813.068 -49.681
813.158 1.318
813.249 -11.682
813.339 20.318
813.430 -13.683
813.520 7.317
813.611 34.316
813.701 -1.684
813.792 -6.684
813.882 30.315
813.972 7.315
814.063 0.315
814.153 44.314
814.243 39.314
814.334 18.313
814.424 -19.687
814.514 -21.687
814.604 -32.688
814.695 2.312
814.785 12.312
814.875 38.311
814.965 36.311
815.055 -19.690
815.145 -30.690
815.235 45.310
815.325 0.309
815.415 18.309
815.505 -21.691
815.595 -36.692
815.685 -15.692
815.775 20.308
815.865 41.307
815.955 -43.693
816.045 -5.694
816.134 42.306
816.224 -42.694
816.314 -10.695
816.404 -20.695
816.494 13.305
816.583 -27.696
816.673 0.304
816.763 78.304
816.852 -2.697
816.942 -11.697
817.031 8.303
817.121 -4.698
817.211 -28.698
817.300 15.302
817.390 21.301
817.479 24.301
817.568 -5.700
817.658 75.300
817.747 74.300
817.837 23.299
817.926 7.299
818.015 3.299
818.105 8.298
818.194 21.298
818.283 8.298
818.373 11.297
818.462 39.297
818.551 8.297
818.640 59.296
818.729 39.296
818.819 -7.704
818.908 7.295
818.997 -37.705
819.086 7.295
819.175 16.294
819.264 59.294
819.353 -33.706
819.442 4.293
819.531 22.293
819.620 -16.707
819.709 38.292
819.798 2.292
819.886 60.292
819.975 -24.709
820.064 49.291
820.153 15.291
820.242 -7.710
820.330 25.290
820.419 33.290
820.508 14.289
820.597 -16.711
820.685 0.289
820.774 1.288
820.862 11.288
820.951 -18.712
821.040 8.287
821.128 -5.713
821.217 23.287
821.305 12.286
821.394 29.286
821.482 -27.714
821.571 -35.715
821.659 -12.715
821.747 47.285
821.836 14.284
821.924 40.284
822.012 33.284
822.101 -7.717
822.189 -6.717
822.277 -26.717
822.365 -7.718
822.454 -14.718
822.542 22.282
822.630 36.282
822.718 2.281
822.806 11.281
822.894 28.281
822.982 27.280
823.071 19.280
823.159 22.280
823.247 -22.721
823.335 -22.721
823.422 -31.721
823.510 66.278
823.598 3.278
823.686 39.278
823.774 24.277
823.862 32.277
823.950 26.277
824.038 36.277
824.125 -21.724
824.213 -80.724
824.301 -0.724
824.389 -9.725
824.476 -15.725
824.564 36.275
824.651 -5.726
824.739 15.274
824.827 13.274
824.914 9.273
825.002 -15.727
825.089 56.273
825.177 -25.727
825.264 -33.728
825.352 -29.728
825.439 48.272
825.527 8.271
825.614 63.271
825.701 14.271
825.789 -47.730
825.876 -6.730
825.963 36.270
826.051 7.270
826.138 16.269
826.225 30.269
826.312 -10.731
826.399 8.268
826.487 25.268
826.574 21.268
826.661 -0.733
826.748 51.267
826.835 54.267
826.922 34.267
827.009 -33.734
827.096 13.266
827.183 -13.734
827.270 -13.735
827.357 5.265
827.444 6.265
827.531 -23.735
827.618 -7.736
827.705 1.264
827.791 -27.736
827.878 -76.737
827.965 17.263
828.052 10.263
828.138 -6.737
828.225 29.262
828.312 -9.738
828.398 31.262
828.485 4.261
828.572 44.261
828.658 -6.739
828.745 26.261
828.831 18.260
828.918 25.260
829.004 9.260
829.091 -0.741
829.177 19.259
829.264 16.259
829.350 0.259
829.437 -20.742
829.523 -35.742
829.609 2.258
829.696 13.257
829.782 40.257
829.868 59.257
829.954 84.257
830.041 -17.744
830.127 -54.744
830.213 22.256
830.299 11.256
830.385 -10.745
830.471 30.255
830.558 -49.745
830.644 13.254
830.730 -31.746
830.816 24.254
830.902 -5.746
830.988 34.253
831.074 19.253
831.160 28.253
831.245 -2.747
831.331 17.252
831.417 61.252
831.503 41.252
831.589 64.251
831.675 0.251
831.760 10.251
831.846 -9.749
831.932 9.250
832.018 -7.750
832.103 -11.750
832.189 40.250
832.275 61.249
832.360 -1.751
832.446 -16.751
832.531 -1.751
832.617 -31.752
832.702 -32.752
832.788 25.248
832.873 29.247
832.959 -10.753
833.044 -14.753
833.130 -2.753
833.215 49.246
833.301 46.246
833.386 -11.754
833.471 -7.754
833.556 16.245
833.642 2.245
833.727 12.245
833.812 -9.755
833.897 -25.756
833.983 13.244
834.068 -36.756
834.153 -9.756
834.238 20.243
834.323 12.243
834.408 46.243
834.493 -1.757
834.578 -15.758
834.663 9.242
834.748 27.242
834.833 14.242
834.918 31.241
835.003 11.241
835.088 -33.759
835.173 -28.759
835.258 -17.760
835.342 8.240
835.427 8.240
835.512 25.240
835.597 21.239
835.682 38.239
835.766 20.239
835.851 23.239
835.936 3.238
836.020 -30.762
836.105 28.238
836.189 26.238
836.274 88.237
836.359 39.237
836.443 24.237
836.528 11.237
836.612 42.236
836.696 -8.764
836.781 -4.764
836.865 2.236
836.950 0.235
837.034 17.235
837.118 -10.765
837.203 42.235
837.287 -14.766
837.371 -14.766
837.456 62.234
837.540 18.234
837.624 -21.767
837.708 15.233
837.792 -16.767
837.876 -15.767
837.961 35.232
838.045 6.232
838.129 12.232
838.213 -11.768
838.297 22.231
838.381 56.231
838.465 7.231
838.549 3.231
838.633 -31.769
838.717 25.230
838.800 24.230
838.884 -0.770
838.968 26.230
839.052 42.229
839.136 15.229
839.220 36.229
839.303 22.229
839.387 21.228
839.471 -20.772
839.554 -10.772
839.638 -5.772
839.722 16.227
839.805 2.227
839.889 60.227
839.972 28.227
