wellenlaenge arbitrary
763.708 441.544
763.810 486.665
763.912 393.785
764.014 340.905
764.116 351.025
764.219 485.144
764.321 597.264
764.423 588.383
764.525 415.501
764.627 348.620
764.729 304.738
764.831 506.856
764.933 556.974
765.035 526.091
765.137 459.208
765.239 400.325
765.340 406.442
765.442 425.558
765.544 549.674
765.646 544.790
765.748 503.905
765.849 609.021
765.951 565.136
766.053 551.251
766.155 557.365
766.256 505.479
766.358 382.593
766.460 436.707
766.561 453.821
766.663 365.934
766.764 494.047
766.866 547.160
766.967 463.272
767.069 394.384
767.170 457.496
767.272 442.608
767.373 481.719
767.475 386.831
767.576 403.942
767.677 497.052
767.779 444.163
767.880 503.273
767.981 468.383
768.082 451.493
768.184 454.602
768.285 546.712
768.386 480.821
768.487 429.929
768.588 570.038
768.690 516.146
768.791 404.254
768.892 673.362
768.993 511.470
769.094 409.577
769.195 420.684
769.296 450.791
769.397 477.898
769.498 474.004
769.599 548.110
769.700 523.216
769.800 536.322
769.901 541.427
770.002 490.533
770.103 445.638
770.204 423.742
770.304 390.847
770.405 402.951
770.506 487.055
770.607 443.159
770.707 479.263
770.808 508.366
770.909 528.469
771.009 572.572
771.110 472.675
771.210 401.777
771.311 430.880
771.411 468.982
771.512 542.084
771.612 437.185
771.713 584.287
771.813 518.388
771.914 454.489
772.014 460.589
772.114 451.690
772.215 465.790
772.315 418.890
772.415 398.990
772.515 369.090
772.616 378.189
772.716 371.288
772.816 322.387
772.916 425.486
773.016 498.585
773.117 545.683
773.217 456.781
773.317 490.879
773.417 599.977
773.517 662.074
773.617 653.171
773.717 469.269
773.817 562.365
773.917 493.462
774.017 453.558
774.117 475.655
774.216 561.751
774.316 572.847
774.416 530.942
774.516 509.038
774.616 564.133
774.715 476.228
774.815 489.323
774.915 504.417
775.015 579.512
775.114 562.606
775.214 597.700
775.314 539.794
775.413 541.887
775.513 647.981
775.612 559.074
775.712 458.167
775.811 713.259
775.911 748.352
776.010 672.444
776.110 538.537
776.209 512.629
776.309 681.720
776.408 601.812
776.507 556.903
776.607 493.995
776.706 468.086
776.805 439.177
776.904 564.267
777.004 638.358
777.103 570.448
777.202 496.538
777.301 550.628
777.400 653.718
777.500 567.807
777.599 368.896
777.698 511.985
777.797 416.074
777.896 426.163
777.995 531.252
778.094 499.340
778.193 462.428
778.292 588.516
778.391 566.604
778.490 462.692
778.588 403.779
778.687 428.866
778.786 527.953
778.885 638.040
778.984 701.127
779.082 595.214
779.181 512.300
779.280 518.386
779.379 589.472
779.477 811.558
779.576 661.644
779.675 544.729
779.773 570.814
779.872 511.899
779.970 498.984
780.069 540.069
780.167 456.154
780.266 569.238
780.364 564.322
780.463 666.406
780.561 554.490
780.660 519.574
780.758 544.657
780.856 727.741
780.955 635.824
781.053 665.907
781.151 599.990
781.249 506.072
781.348 622.155
781.446 611.237
781.544 612.319
781.642 767.401
781.740 666.483
781.838 617.564
781.937 547.646
782.035 604.727
782.133 675.808
782.231 625.889
782.329 590.970
782.427 570.051
782.525 600.131
782.623 532.211
782.721 582.292
782.818 510.372
782.916 538.451
783.014 673.531
783.112 756.610
783.210 680.690
783.308 601.769
783.405 642.848
783.503 586.927
783.601 659.005
783.699 646.084
783.796 609.162
783.894 606.240
783.991 696.318
784.089 642.396
784.187 638.474
784.284 592.552
784.382 652.629
784.479 717.706
784.577 688.783
784.674 727.860
784.772 843.937
784.869 857.013
784.966 786.090
785.064 794.166
785.161 702.242
785.258 704.318
785.356 640.394
785.453 659.470
785.550 624.545
785.648 735.621
785.745 763.696
785.842 579.771
785.939 633.846
786.036 741.921
786.133 821.995
786.231 760.070
786.328 802.144
786.425 872.218
786.522 984.292
786.619 952.366
786.716 995.440
786.813 940.513
786.910 760.587
787.006 726.660
787.103 886.733
787.200 826.806
787.297 940.879
787.394 925.952
787.491 801.024
787.588 979.097
787.684 889.169
787.781 951.241
787.878 995.313
787.974 827.385
788.071 975.456
788.168 946.528
788.264 1100.599
788.361 1004.671
788.458 912.742
788.554 936.813
788.651 876.884
788.747 942.954
788.844 973.025
788.940 983.095
789.037 958.165
789.133 1001.236
789.229 1164.306
789.326 1140.375
789.422 1161.445
789.518 1242.515
789.615 1164.584
789.711 1103.653
789.807 1114.723
789.903 1167.792
790.000 1076.860
790.096 1191.929
790.192 1192.998
790.288 1203.066
790.384 1328.135
790.480 1254.203
790.576 1337.271
790.673 1340.339
790.769 1362.407
790.865 1376.474
790.961 1289.542
791.057 1362.609
791.152 1360.677
791.248 1397.744
791.344 1573.811
791.440 1493.878
791.536 1541.944
791.632 1496.011
791.728 1535.077
791.823 1518.144
791.919 1402.210
792.015 1499.276
792.111 1441.342
792.206 1385.408
792.302 1471.474
792.398 1618.539
792.493 1774.605
792.589 1720.670
792.684 1675.735
792.780 1763.800
792.875 1890.865
792.971 1831.930
793.066 1710.995
793.162 1729.059
793.257 1860.124
793.353 2009.188
793.448 1964.252
793.544 1898.316
793.639 1878.380
793.734 1859.444
793.830 1907.508
793.925 1908.572
794.020 2016.635
794.115 2110.698
794.211 2180.762
794.306 2226.825
794.401 2202.888
794.496 2186.950
794.591 2194.013
794.686 2031.076
794.781 1970.138
794.876 2291.201
794.971 2306.263
795.066 2570.325
795.161 2514.387
795.256 2451.449
795.351 2521.511
795.446 2678.572
795.541 2676.634
795.636 2669.695
795.731 2600.757
795.826 2533.818
795.920 2679.879
796.015 2756.940
796.110 2785.001
796.205 2666.061
796.299 2558.122
796.394 2806.183
796.489 2942.243
796.583 2884.303
796.678 2822.363
796.773 2892.423
796.867 2816.483
796.962 2887.543
797.056 2981.603
797.151 2873.662
797.245 3011.722
797.340 3210.781
797.434 3206.840
797.529 3129.899
797.623 3233.958
797.717 3225.017
797.812 3265.076
797.906 3335.135
798.000 3388.193
798.095 3555.252
798.189 3614.310
798.283 3693.368
798.377 3821.427
798.472 3823.485
798.566 3558.543
798.660 3633.600
798.754 3741.658
798.848 3722.716
798.942 3694.773
799.036 3750.830
799.130 3953.888
799.224 3828.945
799.318 3689.002
799.412 3581.059
799.506 3750.116
799.600 4083.172
799.694 4028.229
799.788 3921.286
799.882 4097.342
799.975 4596.398
800.069 4366.454
800.163 3995.511
800.257 4147.567
800.351 4326.622
800.444 4490.678
800.538 4479.734
800.632 4489.789
800.725 4483.845
800.819 4490.900
800.912 4470.956
801.006 4407.011
801.100 4290.066
801.193 4422.121
801.287 4693.176
801.380 4466.230
801.474 4561.285
801.567 4751.340
801.660 4704.394
801.754 4694.448
801.847 4571.503
801.941 4844.557
802.034 4758.611
802.127 4728.665
802.220 4797.719
802.314 4938.772
802.407 4945.826
802.500 4807.880
802.593 4801.933
802.687 5008.986
802.780 5332.040
802.873 5222.093
802.966 4804.146
803.059 4659.199
803.152 5060.252
803.245 4986.304
803.338 4795.357
803.431 4986.410
803.524 5206.462
803.617 5359.515
803.710 5178.567
803.803 5220.619
803.896 5058.671
803.988 5204.723
804.081 5082.775
804.174 4870.827
804.267 4759.879
804.360 4754.930
804.452 4987.982
804.545 4948.033
804.638 4953.085
804.730 5143.136
804.823 4908.187
804.916 4772.238
805.008 4609.289
805.101 4362.340
805.193 4563.391
805.286 4529.441
805.378 4586.492
805.471 4685.542
805.563 4758.593
805.656 4644.643
805.748 4660.693
805.841 4632.744
805.933 4310.794
806.025 4324.844
806.118 4495.894
806.210 4439.943
806.302 4352.993
806.394 4426.043
806.487 4487.092
806.579 4250.142
806.671 4074.191
806.763 4015.240
806.855 4233.289
806.948 4405.338
807.040 4235.387
807.132 4001.436
807.224 3909.485
807.316 3918.534
807.408 3877.582
807.500 3968.631
807.592 3892.679
807.684 3765.728
807.776 3646.776
807.867 3651.824
807.959 3643.872
808.051 3442.920
808.143 3166.968
808.235 2998.016
808.327 3155.064
808.418 3196.112
808.510 3282.159
808.602 3242.207
808.693 3128.254
808.785 3212.302
808.877 3265.349
808.968 3009.396
809.060 3015.443
809.152 2882.490
809.243 2769.537
809.335 2781.584
809.426 2717.631
809.518 2784.677
809.609 2747.724
809.701 2659.771
809.792 2767.817
809.883 2741.863
809.975 2733.910
810.066 2580.956
810.157 2502.002
810.249 2654.048
810.340 2414.094
810.431 2335.140
810.522 2307.186
810.614 2229.231
810.705 2281.277
810.796 2348.322
810.887 2274.368
810.978 2161.413
811.069 2136.459
811.160 2129.504
811.251 2135.549
811.343 2160.594
811.434 2117.639
811.525 2032.684
811.615 2020.729
811.706 1991.774
811.797 1925.818
811.888 1810.863
811.979 1729.907
812.070 1737.952
812.161 1841.996
812.252 1867.040
812.342 1777.085
812.433 1704.129
812.524 1629.173
812.615 1623.217
812.705 1583.261
812.796 1619.305
812.887 1710.348
812.977 1524.392
813.068 1528.436
813.158 1596.479
813.249 1742.523
813.339 1550.566
813.430 1478.609
813.520 1514.652
813.611 1490.696
813.701 1455.739
813.792 1391.782
813.882 1337.825
813.972 1299.867
814.063 1308.910
814.153 1252.953
814.243 1272.996
814.334 1262.038
814.424 1307.081
814.514 1285.123
814.604 1234.165
814.695 1195.208
814.785 1227.250
814.875 1166.292
814.965 1080.334
815.055 1189.376
815.145 1166.418
815.235 1101.460
815.325 1155.501
815.415 1098.543
815.505 1054.585
815.595 1171.626
815.685 1051.668
815.775 1005.709
815.865 1058.751
815.955 957.792
816.045 948.833
816.134 991.874
816.224 945.915
816.314 943.956
816.404 952.997
816.494 790.038
816.583 784.079
816.673 870.119
816.763 932.160
816.852 953.201
816.942 939.241
817.031 904.282
817.121 898.322
817.211 821.362
817.300 821.402
817.390 801.443
817.479 846.483
817.568 930.523
817.658 979.563
817.747 868.602
817.837 878.642
817.926 856.682
818.015 674.722
818.105 692.761
818.194 764.801
818.283 748.840
818.373 701.880
818.462 669.919
818.551 770.958
818.640 785.998
818.729 735.037
818.819 697.076
818.908 815.115
818.997 935.154
819.086 765.193
819.175 611.232
819.264 628.270
819.353 617.309
819.442 662.348
819.531 658.386
819.620 652.425
819.709 665.463
819.798 583.501
819.886 527.540
819.975 699.578
820.064 774.616
820.153 659.654
820.242 668.692
820.330 542.730
820.419 592.768
820.508 601.806
820.597 556.844
820.685 629.882
820.774 622.919
820.862 572.957
820.951 662.995
821.040 554.032
821.128 622.069
821.217 736.107
821.305 643.144
821.394 534.181
821.482 554.218
821.571 633.256
821.659 550.293
821.747 449.330
821.836 542.367
821.924 558.403
822.012 653.440
822.101 517.477
822.189 532.514
822.277 567.550
822.365 427.587
822.454 482.623
822.542 540.660
822.630 497.696
822.718 564.733
822.806 646.769
822.894 660.805
822.982 625.841
823.071 596.877
823.159 651.913
823.247 630.949
823.335 497.985
823.422 527.021
823.510 694.057
823.598 636.093
823.686 469.128
823.774 488.164
823.862 475.199
823.950 533.235
824.038 572.270
824.125 567.306
824.213 563.341
824.301 495.376
824.389 497.412
824.476 419.447
824.564 389.482
824.651 537.517
824.739 536.552
824.827 449.587
824.914 557.622
825.002 611.656
825.089 621.691
825.177 591.726
825.264 503.761
825.352 453.795
825.439 484.830
825.527 593.864
825.614 684.899
825.701 682.933
825.789 557.967
825.876 621.002
825.963 607.036
826.051 624.070
826.138 509.104
826.225 520.138
826.312 533.172
826.399 569.206
826.487 560.240
826.574 471.274
826.661 635.307
826.748 710.341
826.835 570.375
826.922 472.408
827.009 482.442
827.096 606.475
827.183 671.509
827.270 554.542
827.357 545.575
827.444 697.609
827.531 602.642
827.618 664.675
827.705 725.708
827.791 697.741
827.878 703.774
827.965 708.807
828.052 577.840
828.138 732.873
828.225 805.906
828.312 692.939
828.398 593.971
828.485 570.004
828.572 646.037
828.658 634.069
828.745 542.102
828.831 480.134
828.918 459.166
829.004 579.199
829.091 688.231
829.177 598.263
829.264 592.295
829.350 566.328
829.437 446.360
829.523 380.392
829.609 461.424
829.696 534.456
829.782 587.487
829.868 531.519
829.954 450.551
830.041 527.583
830.127 493.614
830.213 483.646
830.299 496.678
830.385 474.709
830.471 345.741
830.558 374.772
830.644 405.803
830.730 365.835
830.816 473.866
830.902 518.897
830.988 469.928
831.074 466.960
831.160 506.991
831.245 489.022
831.331 413.053
831.417 464.084
831.503 506.115
831.589 486.145
831.675 446.176
831.760 500.207
831.846 563.238
831.932 550.268
832.018 441.299
832.103 363.329
832.189 437.360
832.275 534.390
832.360 654.421
832.446 566.451
832.531 434.481
832.617 387.512
832.702 373.542
832.788 408.572
832.873 300.602
832.959 440.632
833.044 573.662
833.130 519.692
833.215 374.722
833.301 466.752
833.386 458.782
833.471 457.812
833.556 510.842
833.642 465.871
833.727 480.901
833.812 402.931
833.897 425.960
833.983 448.990
834.068 421.019
834.153 367.049
834.238 459.078
834.323 460.107
834.408 458.137
834.493 448.166
834.578 455.195
834.663 429.224
834.748 499.253
834.833 437.282
