wellenlaenge,arbitraer
-0.0000008846,0.161016
-0.0000008844,0.169922
-0.0000008842,0.159609
-0.000000884,0.149766
-0.0000008838,0.131016
-0.0000008836,0.169922
-0.0000008834,0.14
-0.0000008832,0.120313
-0.000000883,0.100625
-0.0000008828,0.127578
-0.0000008826,0.204375
-0.0000008824,0.411953
-0.0000008822,0.684766
-0.000000882,1.01047
-0.0000008818,1.29
-0.0000008816,1.54031
-0.0000008814,1.71844
-0.0000008812,1.83352
-0.000000881,1.83289
-0.0000008808,1.7525
-0.0000008806,1.56242
-0.0000008804,1.33156
-0.0000008802,1.11453
-0.00000088,0.888047
-0.0000008798,0.723516
-0.0000008796,0.599922
-0.0000008794,0.465
-0.0000008792,0.349922
-0.000000879,0.305078
-0.0000008788,0.217344
-0.0000008786,0.187891
-0.0000008784,0.128203
-0.0000008782,0.110469
-0.000000878,0.0982813
-0.0000008778,0.0553906
-0.0000008776,0.0617969
-0.0000008774,0.0800781
-0.0000008772,0.0823438
-0.000000877,0.110781
-0.0000008768,0.0772656
-0.0000008766,0.0736719
-0.0000008764,0.0898438
-0.0000008762,0.0789063
-0.000000876,0.0688281
-0.0000008758,0.0239063
-0.0000008756,0.00984375
-0.0000008754,0.0015625
-0.0000008752,0.0189063
-0.000000875,-0.0245312
-0.0000008748,-0.0308594
-0.0000008746,-0.0777344
-0.0000008744,-0.109844
-0.0000008742,-0.0907031
-0.000000874,-0.12
-0.0000008738,-0.0978906
-0.0000008736,-0.0898437
-0.0000008734,-0.0457812
-0.0000008732,-0.0197656
-0.000000873,0.0115625
-0.0000008728,0.0625781
-0.0000008726,0.111094
-0.0000008724,0.109297
-0.0000008722,0.152891
-0.000000872,0.159766
-0.0000008718,0.1625
-0.0000008716,0.190313
-0.0000008714,0.157969
-0.0000008712,0.15
-0.000000871,0.118203
-0.0000008708,0.119609
-0.0000008706,0.120938
-0.0000008704,0.127969
-0.0000008702,0.210078
-0.00000087,0.404141
-0.0000008698,0.69
-0.0000008696,0.956563
-0.0000008694,1.27203
-0.0000008692,1.54406
-0.000000869,1.71273
-0.0000008688,1.7882
