x_spektrum,y_spektrum,x_fourier_transformed,y_fourier_transformed
712.018,-1.000,0.450,0.014
712.131,13.000,0.451,0.255
712.244,16.000,0.452,0.024
712.357,2.000,0.453,0.126
712.470,-16.000,0.454,0.100
712.583,-14.000,0.455,0.022
712.696,6.000,0.457,0.111
712.809,20.000,0.458,0.023
712.922,-1.000,0.459,0.235
713.035,-8.000,0.460,0.424
713.148,8.000,0.461,0.054
713.261,7.000,0.462,0.353
713.374,-19.000,0.463,0.230
713.487,-6.000,0.464,0.046
713.600,-24.000,0.465,0.082
713.713,7.000,0.466,0.464
713.825,0.000,0.467,0.166
713.938,10.000,0.468,0.265
714.051,-6.000,0.469,0.329
714.164,-20.000,0.470,0.258
714.276,17.000,0.472,0.319
714.389,3.000,0.473,0.174
714.502,-1.000,0.474,0.234
714.614,-13.000,0.475,0.261
714.727,12.000,0.476,0.262
714.840,-10.000,0.477,0.294
714.952,6.000,0.478,0.255
715.065,25.000,0.479,0.017
715.177,21.000,0.480,0.183
715.290,3.000,0.481,0.046
715.402,7.000,0.482,0.077
715.515,10.000,0.483,0.050
715.627,36.000,0.484,0.091
715.739,19.000,0.485,0.123
715.852,-8.000,0.487,0.143
715.964,3.000,0.488,0.232
716.076,15.000,0.489,0.393
716.189,7.000,0.490,0.285
716.301,25.000,0.491,0.049
716.413,24.000,0.492,0.259
716.526,19.000,0.493,0.051
716.638,-7.000,0.494,0.587
716.750,-3.000,0.495,0.232
716.862,3.000,0.496,0.031
716.974,13.000,0.497,0.130
717.086,7.000,0.498,0.221
717.199,10.000,0.499,0.151
717.311,7.000,0.500,0.649
717.423,-9.000,0.502,0.182
717.535,5.000,0.503,0.322
717.647,5.000,0.504,0.430
717.759,18.000,0.505,0.381
717.871,-2.000,0.506,0.005
717.983,8.000,0.507,0.172
718.095,6.000,0.508,0.253
718.207,8.000,0.509,0.154
718.318,-8.000,0.510,0.057
718.430,21.000,0.511,0.143
718.542,-11.000,0.512,0.379
718.654,5.000,0.513,0.205
718.766,-16.000,0.514,0.140
718.878,9.000,0.515,0.194
718.989,-7.000,0.517,0.149
719.101,-3.000,0.518,0.243
719.213,5.000,0.519,0.080
719.324,-2.000,0.520,0.629
719.436,-9.000,0.521,0.010
719.548,12.000,0.522,0.006
719.659,22.000,0.523,0.346
719.771,9.000,0.524,0.008
719.882,-18.000,0.525,0.045
719.994,-5.000,0.526,0.378
720.105,10.000,0.527,0.269
720.217,15.000,0.528,0.127
720.328,-2.000,0.529,0.335
720.440,-22.000,0.530,0.183
720.551,14.000,0.532,0.120
720.663,18.000,0.533,0.117
720.774,3.000,0.534,0.035
720.885,-4.000,0.535,0.310
720.997,15.000,0.536,0.311
721.108,3.000,0.537,0.083
721.219,5.000,0.538,0.459
721.331,1.000,0.539,0.112
721.442,19.000,0.540,0.018
721.553,-13.000,0.541,0.257
721.664,42.000,0.542,0.078
721.776,2.000,0.543,0.063
721.887,-5.000,0.544,0.174
721.998,16.000,0.545,0.047
722.109,-1.000,0.547,0.282
722.220,-7.000,0.548,0.076
722.331,-8.000,0.549,0.008
722.442,-3.000,0.550,0.229
722.553,9.000,0.551,0.296
722.664,-1.000,0.552,0.121
722.775,21.000,0.553,0.062
722.886,5.000,0.554,0.374
722.997,28.000,0.555,0.333
723.108,7.000,0.556,0.223
723.219,-24.000,0.557,0.069
723.330,2.000,0.558,0.472
723.440,15.000,0.559,0.206
723.551,5.000,0.560,0.319
723.662,9.000,0.562,0.302
723.773,38.000,0.563,0.671
723.884,13.000,0.564,0.209
723.994,14.000,0.565,0.363
724.105,22.000,0.566,0.025
724.216,-8.000,0.567,0.181
724.326,32.000,0.568,0.263
724.437,-1.000,0.569,0.132
724.548,6.000,0.570,0.613
724.658,9.000,0.571,0.008
724.769,13.000,0.572,0.245
724.879,19.000,0.573,0.163
724.990,8.000,0.574,0.057
725.100,-9.000,0.575,0.317
725.211,-5.000,0.577,0.172
725.321,-6.000,0.578,0.506
725.432,-4.000,0.579,0.145
725.542,4.000,0.580,0.061
725.652,1.000,0.581,0.190
725.763,-4.000,0.582,0.176
725.873,1.000,0.583,0.390
725.983,0.000,0.584,0.200
726.094,-9.000,0.585,0.057
726.204,9.000,0.586,0.232
726.314,-12.000,0.587,0.108
726.424,-1.000,0.588,0.178
726.535,-4.000,0.589,0.169
726.645,-4.000,0.590,0.169
726.755,1.000,0.592,0.260
726.865,13.000,0.593,0.299
726.975,23.000,0.594,0.248
727.085,22.000,0.595,0.017
727.195,33.000,0.596,0.198
727.305,14.000,0.597,0.070
727.415,-1.000,0.598,0.226
727.525,0.000,0.599,0.079
727.635,12.000,0.600,0.341
727.745,-10.000,0.601,0.073
727.855,-12.000,0.602,0.059
727.965,-13.000,0.603,0.060
728.075,7.000,0.604,0.148
728.185,4.000,0.605,0.474
728.295,1.000,0.607,0.052
728.405,8.000,0.608,0.214
728.514,-11.000,0.609,0.094
728.624,-9.000,0.610,0.054
728.734,-1.000,0.611,0.070
728.844,13.000,0.612,0.097
728.953,8.000,0.613,0.152
729.063,0.000,0.614,0.030
729.173,0.000,0.615,0.070
729.282,2.000,0.616,0.114
729.392,1.000,0.617,0.298
729.501,-7.000,0.618,0.588
729.611,-24.000,0.619,0.278
729.721,10.000,0.620,0.258
729.830,-4.000,0.622,0.262
729.940,5.000,0.623,0.110
730.049,-5.000,0.624,0.018
730.159,18.000,0.625,0.040
730.268,-1.000,0.626,0.136
730.377,19.000,0.627,0.303
730.487,4.000,0.628,0.099
730.596,10.000,0.629,0.414
730.705,17.000,0.630,0.132
730.815,-7.000,0.631,0.167
730.924,17.000,0.632,0.285
731.033,-4.000,0.633,0.469
731.143,9.000,0.634,0.691
731.252,19.000,0.635,0.356
731.361,-5.000,0.637,0.458
731.470,5.000,0.638,0.116
731.579,-4.000,0.639,0.113
731.688,-14.000,0.640,0.328
731.798,-7.000,0.641,0.058
731.907,-1.000,0.642,0.350
732.016,-14.000,0.643,0.516
732.125,-14.000,0.644,0.404
732.234,8.000,0.645,0.186
732.343,11.000,0.646,0.080
732.452,0.000,0.647,0.074
732.561,10.000,0.648,0.147
732.670,-1.000,0.649,0.001
732.778,6.000,0.650,0.274
732.887,11.000,0.652,0.109
732.996,4.000,0.653,0.113
733.105,-6.000,0.654,0.355
733.214,-23.000,0.655,0.081
733.323,-5.000,0.656,0.040
733.431,-1.000,0.657,0.031
733.540,15.000,0.658,0.625
733.649,27.000,0.659,0.007
733.758,14.000,0.660,0.168
733.866,13.000,0.661,0.397
733.975,-9.000,0.662,0.430
734.084,4.000,0.663,0.052
734.192,1.000,0.664,0.085
734.301,25.000,0.665,0.076
734.409,-7.000,0.667,0.097
734.518,30.000,0.668,0.007
734.626,-2.000,0.669,0.056
734.735,19.000,0.670,0.284
734.843,8.000,0.671,0.137
734.952,-21.000,0.672,0.215
735.060,4.000,0.673,0.076
735.169,-1.000,0.674,0.557
735.277,15.000,0.675,0.041
735.385,10.000,0.676,0.097
735.494,-1.000,0.677,0.470
735.602,8.000,0.678,0.307
735.710,1.000,0.679,0.518
735.819,-8.000,0.680,0.006
735.927,0.000,0.682,0.555
736.035,7.000,0.683,0.244
736.143,8.000,0.684,0.177
736.251,27.000,0.685,0.180
736.360,7.000,0.686,0.096
736.468,-20.000,0.687,0.238
736.576,2.000,0.688,0.100
736.684,-16.000,0.689,0.129
736.792,3.000,0.690,0.199
736.900,-2.000,0.691,0.451
737.008,-3.000,0.692,0.012
737.116,17.000,0.693,0.241
737.224,6.000,0.694,0.111
737.332,-4.000,0.696,0.103
737.440,-6.000,0.697,0.591
737.548,-6.000,0.698,0.369
737.656,5.000,0.699,0.018
737.763,8.000,0.700,0.129
737.871,-12.000,0.701,0.199
737.979,-19.000,0.702,0.174
738.087,6.000,0.703,0.058
738.195,13.000,0.704,0.272
738.302,4.000,0.705,0.034
738.410,17.000,0.706,0.563
738.518,33.000,0.707,0.083
738.625,3.000,0.708,0.060
738.733,-12.000,0.709,0.047
738.841,7.000,0.711,0.047
738.948,26.000,0.712,0.021
739.056,9.000,0.713,0.184
739.164,3.000,0.714,0.290
739.271,8.000,0.715,0.095
739.379,1.000,0.716,0.108
739.486,3.000,0.717,0.094
739.594,-8.000,0.718,0.104
739.701,11.000,0.719,0.134
739.808,6.000,0.720,0.113
739.916,-19.000,0.721,0.256
740.023,-4.000,0.722,0.072
740.131,-12.000,0.723,0.086
740.238,1.000,0.724,0.073
740.345,8.000,0.726,0.340
740.452,9.000,0.727,0.119
740.560,22.000,0.728,0.055
740.667,21.000,0.729,0.341
740.774,-12.000,0.730,0.183
740.881,-4.000,0.731,0.125
740.989,8.000,0.732,0.406
741.096,-1.000,0.733,0.208
741.203,-7.000,0.734,0.060
741.310,7.000,0.735,0.226
741.417,-2.000,0.736,0.151
741.524,-17.000,0.737,0.023
741.631,-14.000,0.738,0.367
741.738,8.000,0.739,0.392
741.845,7.000,0.741,0.092
741.952,20.000,0.742,0.437
742.059,1.000,0.743,0.141
742.166,-11.000,0.744,0.304
742.273,-4.000,0.745,0.064
742.380,12.000,0.746,0.180
742.487,4.000,0.747,0.254
742.593,-7.000,0.748,0.335
742.700,-24.000,0.749,0.067
742.807,-19.000,0.750,0.345
742.914,9.000,0.751,0.069
743.021,20.000,0.752,0.062
743.127,20.000,0.753,0.081
743.234,15.000,0.754,0.049
743.341,-3.000,0.756,0.119
743.447,29.000,0.757,0.079
743.554,-18.000,0.758,0.132
743.661,12.000,0.759,0.381
743.767,4.000,0.760,0.057
743.874,28.000,0.761,0.286
743.980,9.000,0.762,0.233
744.087,12.000,0.763,0.165
744.193,12.000,0.764,0.323
744.300,12.000,0.765,0.001
744.406,12.000,0.766,0.059
744.513,1.000,0.767,0.157
744.619,-17.000,0.768,0.042
744.725,-4.000,0.769,0.142
744.832,14.000,0.771,0.170
744.938,14.000,0.772,0.041
745.044,7.000,0.773,0.166
745.151,13.000,0.774,0.218
745.257,20.000,0.775,0.225
745.363,1.000,0.776,0.161
745.469,4.000,0.777,0.041
745.576,4.000,0.778,0.526
745.682,1.000,0.779,0.052
745.788,-20.000,0.780,0.306
745.894,14.000,0.781,0.123
746.000,12.000,0.782,0.059
746.106,-2.000,0.783,0.090
746.212,4.000,0.784,0.063
746.318,3.000,0.786,0.067
746.424,28.000,0.787,0.156
746.530,-13.000,0.788,0.203
746.636,-11.000,0.789,0.066
746.742,-19.000,0.790,0.413
746.848,7.000,0.791,0.050
746.954,-2.000,0.792,0.335
747.060,1.000,0.793,0.143
747.166,7.000,0.794,0.066
747.272,-6.000,0.795,0.239
747.378,9.000,0.796,0.279
747.483,12.000,0.797,0.395
747.589,8.000,0.798,0.279
747.695,12.000,0.799,0.274
747.801,16.000,0.801,0.157
747.906,1.000,0.802,0.078
748.012,3.000,0.803,0.013
748.118,-6.000,0.804,0.053
748.223,5.000,0.805,0.547
748.329,11.000,0.806,0.001
